,genres,level_0
172,Action|Comedy|Drama|Thriller,[u'Tidal Wave\xc2' u'Salvation Boulevard\xc2']
173,Action|Comedy|Drama|War,"[u""All the Queen's Men\xc2""]"
174,Action|Comedy|Drama|Western,[u'Gunless\xc2']
175,Action|Comedy|Family,[u'The Spy Next Door\xc2' u'3 Ninjas Kick Back\xc2']
176,Action|Comedy|Family|Fantasy,[u'Cats & Dogs: The Revenge of Kitty Galore\xc2' u'Cats & Dogs\xc2']
177,Action|Comedy|Fantasy,[u'R.I.P.D.\xc2' u'Bulletproof Monk\xc2' u'The Medallion\xc2']
178,Action|Comedy|Fantasy|Horror,[u'Vampire Killers\xc2']
179,Action|Comedy|Fantasy|Romance,[u'Scott Pilgrim vs. the World\xc2']
180,Action|Comedy|Fantasy|Sci-Fi,[u'Ghostbusters\xc2' u'Mystery Men\xc2' u'The Specials\xc2']
181,Action|Comedy|Horror,"[u'Eight Legged Freaks\xc2' u'Lake Placid\xc2'
 u'Jack Brooks: Monster Slayer\xc2' u'Zombie Hunter\xc2']"
182,Action|Comedy|Horror|Sci-Fi,[u'The Toxic Avenger Part II\xc2' u'The Toxic Avenger\xc2']
183,Action|Comedy|Horror|Thriller,[u'Feast\xc2']
184,Action|Comedy|Music,[u'Dance Flick\xc2']
185,Action|Comedy|Mystery,[u'Hot Fuzz\xc2']
186,Action|Comedy|Mystery|Romance,[u'Mortdecai\xc2']
187,Action|Comedy|Romance,"[u'Knight and Day\xc2' u'This Means War\xc2' u'The Bounty Hunter\xc2'
 u'Hit and Run\xc2' u'MacGruber\xc2' u'D.E.B.S.\xc2']"
188,Action|Comedy|Romance|Thriller,[u'Killers\xc2' u'Hum To Mohabbat Karega\xc2']
189,Action|Comedy|Sci-Fi,"[u'The Adventures of Pluto Nash\xc2' u'Mars Attacks!\xc2'
 u'The Tuxedo\xc2' u'The Watch\xc2' u'Superman III\xc2' u'Tank Girl\xc2'
 u""The World's End\xc2""]"
190,Action|Comedy|Sci-Fi|Sport,[u'Death Race 2000\xc2']
191,Action|Comedy|Sci-Fi|Thriller,[u'Superhero Movie\xc2' u'Attack the Block\xc2']
192,Action|Comedy|Sci-Fi|Western,[u'Wild Wild West\xc2']
193,Action|Comedy|Sport,"[u'Talladega Nights: The Ballad of Ricky Bobby\xc2'
 u'Here Comes the Boom\xc2' u'Shaolin Soccer\xc2']"
194,Action|Comedy|Thriller,"[u'True Lies\xc2' u'Knock Off\xc2' u'War, Inc.\xc2'
 u'Hobo with a Shotgun\xc2']"
195,Action|Comedy|War,[u'1941\xc2' u'Stripes\xc2']
196,Action|Crime,"[u'Walking Tall\xc2' u'Double Impact\xc2' u'Z Storm\xc2'
 u'Close Range\xc2']"
197,Action|Crime|Drama,"[u'Deuces Wild\xc2' u'The Sweeney\xc2'
 u""Gangster's Paradise: Jerusalema\xc2"" u'Mercy Streets\xc2'
 u""Amidst the Devil's Wings\xc2""]"
198,Action|Crime|Drama|History|Western,[u'The Newton Boys\xc2']
199,Action|Crime|Drama|Mystery,[u'The Streets of San Francisco\xc2']
200,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,[u'Criminal\xc2']
201,Action|Crime|Drama|Mystery|Thriller,"[u'Miami Vice\xc2' u'Enemy of the State\xc2' u'Hostage\xc2'
 u'Blackhat\xc2' u'The Long Kiss Goodnight\xc2' u'Shooter\xc2'
 u'Righteous Kill\xc2' u'The Negotiator\xc2' u'Basic\xc2'
 u'Blood Work\xc2' u'The International\xc2'
 u'Street Fighter: The Legend of Chun-Li\xc2' u'The Gunman\xc2'
 u'Breakdown\xc2' u'Max Payne\xc2' u'Four Brothers\xc2' u'Sicario\xc2'
 u'The Losers\xc2' u'The Net\xc2' u'Broken Horses\xc2'
 u'The Corruptor\xc2' u'Harper\xc2']"
202,Action|Crime|Drama|Romance|Thriller,"[u'The Specialist\xc2' u'The Good Thief\xc2' u'Nowhere to Run\xc2'
 u'True Romance\xc2' u'Set It Off\xc2' u'El Mariachi\xc2']"
203,Action|Crime|Drama|Sci-Fi|Thriller,[u'Chappie\xc2' u'Looper\xc2']
204,Action|Crime|Drama|Sport,[u'Undisputed\xc2']
205,Action|Crime|Drama|Thriller,"[u'The Dark Knight\xc2' u""The Devil's Own\xc2"" u'Hard Rain\xc2'
 u'Need for Speed\xc2' u'Clear and Present Danger\xc2' u'Man on Fire\xc2'
 u'London Has Fallen\xc2' u'Gangster Squad\xc2' u'Mercury Rising\xc2'
 u'Kill Bill: Vol. 2\xc2' u'The Hunted\xc2' u'Payback\xc2'
 u'Absolute Power\xc2' u'Run All Night\xc2' u'16 Blocks\xc2'
 u'Unleashed\xc2' u'15 Minutes\xc2' u'Colombiana\xc2' u'Get Carter\xc2'
 u'A Man Apart\xc2' u'Sabotage\xc2' u'Punisher: War Zone\xc2'
 u'Stolen\xc2' u'The Punisher\xc2' u'Assault on Precinct 13\xc2'
 u'Antitrust\xc2' u'Dead Man Down\xc2' u'Wild Card\xc2'
 u'Brick Mansions\xc2' u'Contraband\xc2' u'Kiss of the Dragon\xc2'
 u'Cradle 2 the Grave\xc2' u'Stone Cold\xc2' u'Faster\xc2' u'Rogue\xc2'
 u'Homefront\xc2' u'The French Connection\xc2' u'Street Kings\xc2'
 u'Paparazzi\xc2' u'Triple 9\xc2' u'A Most Violent Year\xc2'
 u'I Am Wrath\xc2' u'Hitman\xc2' u""Smokin' Aces\xc2"" u'Running Scared\xc2'
 u'The Skulls\xc2' u'Shinjuku Incident\xc2' u'The Border\xc2'
 u'Romeo Is Bleeding\xc2' u'American Heist\xc2' u'The Way of the Gun\xc2'
 u'The Player\xc2' u'Swelter\xc2' u'Black November\xc2' u'Harry Brown\xc2'
 u'Nikita\xc2' u'Elite Squad\xc2' u'The Protector\xc2'
 u'Dum Maaro Dum\xc2' u'Easy Money\xc2' u'Wicked Blood\xc2'
 u'Class of 1984\xc2' u'Ghost Dog: The Way of the Samurai\xc2'
 u'Harsh Times\xc2' u'Rockaway\xc2']"
206,Action|Crime|Drama|Thriller|War,[u'Miracle at St. Anna\xc2']
207,Action|Crime|Drama|Thriller|Western,"[u'Harley Davidson and the Marlboro Man\xc2' u'Young Guns\xc2'
 u'Lone Wolf McQuade\xc2']"
208,Action|Crime|Drama|Western,[u'Silverado\xc2']
209,Action|Crime|Fantasy|Romance|Thriller,[u'Catwoman\xc2']
210,Action|Crime|Fantasy|Thriller,[u'Wanted\xc2' u'Elektra\xc2' u'The Spirit\xc2']
211,Action|Crime|Horror|Sci-Fi|Thriller,[u'Split Second\xc2']
212,Action|Crime|Horror|Thriller,[u'Red State\xc2']
213,Action|Crime|Mystery|Romance|Thriller,[u'Conspiracy Theory\xc2' u'Maximum Risk\xc2']
214,Action|Crime|Mystery|Sci-Fi|Thriller,[u'Escape Plan\xc2']
215,Action|Crime|Mystery|Thriller,"[u'Salt\xc2' u'Safe House\xc2' u'Jack Reacher\xc2' u'Alex Cross\xc2'
 u'Whiteout\xc2' u'Del 1 - M\xc3_n som hatar kvinnor\xc2']"
216,Action|Crime|Romance|Thriller,[u'Speed 2: Cruise Control\xc2' u'Entrapment\xc2' u'Parker\xc2']
217,Action|Crime|Sci-Fi,[u'Steel\xc2']
218,Action|Crime|Sci-Fi|Thriller,"[u'RoboCop\xc2' u'Face/Off\xc2' u'Ballistic: Ecks vs. Sever\xc2'
 u'Repo Men\xc2' u'The Running Man\xc2' u'Virtuosity\xc2' u'Timecop\xc2'
 u'RoboCop 3\xc2' u'Crank: High Voltage\xc2' u'Fortress\xc2']"
219,Action|Crime|Sport|Thriller,[u'Point Break\xc2']
220,Action|Crime|Thriller,"[u'Furious 7\xc2' u'The Fast and the Furious\xc2' u'Lethal Weapon 4\xc2'
 u'Fast Five\xc2' u'Gone in Sixty Seconds\xc2'
 u'The Taking of Pelham 1 2 3\xc2' u'Spy Game\xc2'
 u'The Fast and the Furious: Tokyo Drift\xc2' u'Con Air\xc2'
 u'Swordfish\xc2' u'2 Fast 2 Furious\xc2' u'Killer Elite\xc2'
 u'Broken Arrow\xc2' u'Sin City: A Dame to Kill For\xc2'
 u'The Italian Job\xc2' u'The Sentinel\xc2' u'The Equalizer\xc2'
 u'Shaft\xc2' u'Ninja Assassin\xc2' u'Assassins\xc2' u'Taken 2\xc2'
 u'Cellular\xc2' u'Bangkok Dangerous\xc2' u'The Mechanic\xc2'
 u'Man on a Ledge\xc2' u'Kiss of Death\xc2' u'Lethal Weapon 3\xc2'
 u'Heist\xc2' u'Premium Rush\xc2' u'Safe\xc2' u'Takers\xc2'
 u'Transporter 2\xc2' u'Black Rain\xc2' u'The Replacement Killers\xc2'
 u'The Last Stand\xc2' u'Once Upon a Time in Mexico\xc2'
 u'Romeo Must Die\xc2' u'War\xc2' u'Half Past Dead\xc2'
 u'The Transporter Refueled\xc2' u'The Transporter\xc2' u'Armored\xc2'
 u'12 Rounds\xc2' u'Death Sentence\xc2' u'Survivor\xc2' u'Firestorm\xc2'
 u'Getaway\xc2' u'RocknRolla\xc2' u'The November Man\xc2'
 u'District B13\xc2' u'Machete\xc2' u'Crank\xc2' u'Skin Trade\xc2'
 u'The Boondock Saints II: All Saints Day\xc2'
 u'The Death and Life of Bobby Z\xc2' u'Desperado\xc2'
 u'The Boondock Saints\xc2' u'Nighthawks\xc2' u'Exiled\xc2'
 u'Checkmate\xc2' u'The Raid: Redemption\xc2' u'Rampage\xc2']"
221,Action|Drama,"[u'Hancock\xc2' u'Kung Fu Killer\xc2' u'Fight Valley\xc2'
 u'The Assassin\xc2' u'Silmido\xc2' u'Green Street 3: Never Back Down\xc2'
 u'Only the Strong\xc2' u'Hardflip\xc2' u'In Her Line of Fire\xc2'
 u'American Ninja 2: The Confrontation\xc2']"
222,Action|Drama|Family|Sport,[u'The Karate Kid\xc2']
223,Action|Drama|Fantasy,[u'The Crow\xc2' u'The Promise\xc2']
224,Action|Drama|Fantasy|Horror|Thriller,[u'Dragon Wars: D-War\xc2']
225,Action|Drama|Fantasy|Horror|War,[u'Dracula Untold\xc2']
226,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,[u'Dark City\xc2']
227,Action|Drama|Fantasy|Mystery|Thriller,[u'Left Behind\xc2']
228,Action|Drama|Fantasy|Romance,[u'Immortals\xc2' u'Buffy the Vampire Slayer\xc2']
229,Action|Drama|Fantasy|Sci-Fi,[u'Ink\xc2']
230,Action|Drama|Fantasy|Thriller|Western,[u'Jonah Hex\xc2']
231,Action|Drama|Fantasy|War,[u'300: Rise of an Empire\xc2' u'300\xc2']
232,Action|Drama|History,[u'Bodyguards and Assassins\xc2']
233,Action|Drama|History|Romance|War,[u'Pearl Harbor\xc2' u'The Warlords\xc2']
234,Action|Drama|History|Romance|War|Western,"[u""One Man's Hero\xc2""]"
235,Action|Drama|History|Thriller,[u'The Finest Hours\xc2']
236,Action|Drama|History|Thriller|War,[u'Airlift\xc2']
237,Action|Drama|History|War,"[u'The Last Samurai\xc2' u'The Patriot\xc2' u'We Were Soldiers\xc2'
 u'Tora! Tora! Tora!\xc2' u'Waterloo\xc2'
 u'Three Kingdoms: Resurrection of the Dragon\xc2'
 u'Operation Chromite\xc2' u'The Longest Day\xc2']"
238,Action|Drama|Horror|Thriller,[u'Sur le seuil\xc2' u'From a Whisper to a Scream\xc2']
239,Action|Drama|Music|Romance,[u'The Bodyguard\xc2']
240,Action|Drama|Mystery|Sci-Fi,[u'Watchmen\xc2' u'Dark Angel\xc2']
241,Action|Drama|Mystery|Thriller,[u'Eraser\xc2']
242,Action|Drama|Mystery|Thriller|War,[u'Courage Under Fire\xc2']
243,Action|Drama|Romance,"[u'Gladiator\xc2' u'Top Gun\xc2' u'Crouching Tiger, Hidden Dragon\xc2']"
244,Action|Drama|Romance|Sci-Fi|Thriller,[u'Deep Impact\xc2']
245,Action|Drama|Romance|Sport,[u'Supercross\xc2']
246,Action|Drama|Romance|Thriller,[u'Kites\xc2']
247,Action|Drama|Romance|War,[u'Sands of Iwo Jima\xc2']
248,Action|Drama|Sci-Fi,[u'Soldier\xc2' u'Defiance\xc2']
249,Action|Drama|Sci-Fi|Sport,[u'Real Steel\xc2']
250,Action|Drama|Sci-Fi|Thriller,"[u'Elysium\xc2' u'Rise of the Planet of the Apes\xc2' u'Volcano\xc2'
 u'Chain Reaction\xc2' u'Snowpiercer\xc2' u""Smilla's Sense of Snow\xc2""
 u'Equilibrium\xc2' u'Meteor\xc2' u'Echo Dr.\xc2']"
251,Action|Drama|Sport,"[u'Driven\xc2' u'Days of Thunder\xc2' u'Never Back Down\xc2'
 u'Never Back Down 2: The Beatdown\xc2' u'Heroes of Dirt\xc2']"
252,Action|Drama|Sport|Thriller,[u'The Fan\xc2']
253,Action|Drama|Thriller,"[u'White House Down\xc2' u'Collateral Damage\xc2' u'The Kingdom\xc2'
 u'The Sum of All Fears\xc2' u'Body of Lies\xc2' u'Proof of Life\xc2'
 u'Ladder 49\xc2' u'Jack Ryan: Shadow Recruit\xc2' u'The Last Castle\xc2'
 u'Outbreak\xc2' u'V for Vendetta\xc2' u'Hanna\xc2' u'3 Days to Kill\xc2'
 u'Straw Dogs\xc2' u'Snitch\xc2' u'The Marine\xc2' u'Silent Trigger\xc2'
 u'Malone\xc2' u'Men of War\xc2' u'Open Road\xc2'
 u'Light from the Darkroom\xc2']"
254,Action|Drama|Thriller|War,"[u'Green Zone\xc2' u'Tears of the Sun\xc2' u'Crimson Tide\xc2'
 u'13 Hours\xc2' u'Behind Enemy Lines\xc2' u'Flight of the Intruder\xc2'
 u'Born of War\xc2']"
255,Action|Drama|War,"[u'Windtalkers\xc2' u'Fury\xc2' u'Jarhead\xc2' u'Saving Private Ryan\xc2'
 u'Red Dawn\xc2' u'The Great Raid\xc2' u'G.I. Jane\xc2'
 u'Tae Guk Gi: The Brotherhood of War\xc2' u'5 Days of War\xc2'
 u'Force 10 from Navarone\xc2']"
256,Action|Drama|Western,[u'Jane Got a Gun\xc2' u'A Fistful of Dollars\xc2']
257,Action|Family|Fantasy|Musical,[u'The Nutcracker in 3D\xc2']
258,Action|Family|Sport,[u'Speed Racer\xc2']
259,Action|Fantasy,[u'Harry Potter and the Deathly Hallows: Part II\xc2' u'Sucker Punch\xc2']
260,Action|Fantasy|Horror,"[u'Underworld: Awakening\xc2' u'Abraham Lincoln: Vampire Hunter\xc2'
 u'Hansel & Gretel: Witch Hunters\xc2' u'Legion\xc2']"
261,Action|Fantasy|Horror|Mystery,[u'End of Days\xc2']
262,Action|Fantasy|Horror|Mystery|Thriller,[u'The Prophecy\xc2']
263,Action|Fantasy|Horror|Sci-Fi,[u'Hellboy\xc2']
264,Action|Fantasy|Horror|Sci-Fi|Thriller,[u'Priest\xc2' u'Phantasm II\xc2']
265,Action|Fantasy|Horror|Thriller,"[u'Dracula 2000\xc2' u'The Covenant\xc2'
 u'Tales from the Crypt: Demon Knight\xc2' u'Warlock\xc2'
 u'A Nightmare on Elm Street 3: Dream Warriors\xc2']"
266,Action|Fantasy|Romance|Sci-Fi,[u'Highlander: The Final Dimension\xc2']
267,Action|Fantasy|Sci-Fi|Thriller,"[u'I, Frankenstein\xc2']"
268,Action|Fantasy|Thriller,"[u'Ghost Rider\xc2' u'Ghost Rider: Spirit of Vengeance\xc2'
 u'Drive Angry\xc2' u'Underworld\xc2']"
269,Action|Fantasy|Western,"[u""The Warrior's Way\xc2""]"
270,Action|Horror,"[u'Blade\xc2' u'Spawn\xc2' u'Wolves\xc2' u'Re-Kill\xc2'
 u'Navy Seals vs. Zombies\xc2']"
271,Action|Horror|Mystery|Sci-Fi|Thriller,[u'Pandorum\xc2']
272,Action|Horror|Mystery|Thriller,[u'Crowsnest\xc2']
273,Action|Horror|Romance,[u'Pride and Prejudice and Zombies\xc2']
274,Action|Horror|Romance|Sci-Fi|Thriller,[u'The Wraith\xc2']
275,Action|Horror|Sci-Fi,"[u'Alien: Resurrection\xc2' u'Alien 3\xc2' u'Resident Evil\xc2'
 u'Predator 2\xc2' u'Bait\xc2' u'Ghosts of Mars\xc2' u'Predator\xc2'
 u""The Devil's Tomb\xc2"" u'The Dead Undead\xc2']"
276,Action|Horror|Sci-Fi|Thriller,"[u'Hollow Man\xc2' u'AVP: Alien vs. Predator\xc2'
 u'Resident Evil: Retribution\xc2' u'Blade II\xc2'
 u'Resident Evil: Apocalypse\xc2' u'Resident Evil: Extinction\xc2'
 u'Aliens vs. Predator: Requiem\xc2' u'Species\xc2' u'Ultraviolet\xc2'
 u'Lifeforce\xc2' u'Daybreakers\xc2' u'Firestarter\xc2' u'Jason X\xc2'
 u'The Purge: Election Year\xc2' u'The Purge: Anarchy\xc2']"
277,Action|Horror|Thriller,"[u'Grindhouse\xc2' u'Dawn of the Dead\xc2' u'Freddy vs. Jason\xc2'
 u'Vampires\xc2' u'The Collection\xc2' u'Into the Grizzly Maze\xc2'
 u'Unnatural\xc2' u'Unsullied\xc2' u'Wind Walkers\xc2']"
278,Action|Mystery|Sci-Fi|Thriller,"[u'I, Robot\xc2' u'Minority Report\xc2' u'The 6th Day\xc2' u'Paycheck\xc2'
 u'The Maze Runner\xc2' u'Self/less\xc2']"
279,Action|Mystery|Thriller,"[u'The Bourne Ultimatum\xc2' u'The Bourne Supremacy\xc2' u'Eagle Eye\xc2'
 u'The Bourne Identity\xc2' u'Non-Stop\xc2' u'Unknown\xc2'
 u'Abduction\xc2' u'The Order\xc2' u'Subconscious\xc2']"
280,Action|Romance|Sport,[u'Fight to the Finish\xc2']
281,Action|Romance|Thriller,[u'The Tourist\xc2' u'The Algerian\xc2']
282,Action|Sci-Fi,"[u'Terminator 3: Rise of the Machines\xc2' u'The Matrix Revolutions\xc2'
 u'The Matrix Reloaded\xc2' u'Hulk\xc2' u'Total Recall\xc2'
 u""Ender's Game\xc2"" u'Terminator 2: Judgment Day\xc2' u'Dredd\xc2'
 u'Battle Los Angeles\xc2' u'The Matrix\xc2' u'\xc3\u2020on Flux\xc2'
 u'Universal Soldier: The Return\xc2' u'The Black Hole\xc2'
 u'Megaforce\xc2' u'The Terminator\xc2' u'Escape from New York\xc2'
 u'Escape from the Planet of the Apes\xc2'
 u'Battle for the Planet of the Apes\xc2' u'Independence Daysaster\xc2'
 u'Conquest of the Planet of the Apes\xc2' u'Def-Con 4\xc2']"
283,Action|Sci-Fi|Sport,[u'Rollerball\xc2' u'The Blood of Heroes\xc2']
284,Action|Sci-Fi|Thriller,"[u'Surrogates\xc2' u'Red Planet\xc2' u'Death Race\xc2'
 u'The Scorch Trials\xc2' u'Deep Blue Sea\xc2' u'Gamer\xc2' u'The One\xc2'
 u'Lucy\xc2' u'Riddick\xc2' u'In Time\xc2' u'Doomsday\xc2'
 u'District 9\xc2' u'Automata\xc2' u'Skyline\xc2' u'Capricorn One\xc2'
 u'Queen Crab\xc2']"
285,Action|Sci-Fi|War,[u'Starship Troopers\xc2']
286,Action|Sport,[u'Crossover\xc2']
287,Action|Thriller,"[u'The Dark Knight Rises\xc2' u'Jason Bourne\xc2'
 u'A Good Day to Die Hard\xc2' u'Unstoppable\xc2' u'Die Hard 2\xc2'
 u'Olympus Has Fallen\xc2' u'The Siege\xc2'
 u'Under Siege 2: Dark Territory\xc2' u'Turbulence\xc2'
 u'Bullet to the Head\xc2' u'From Paris with Love\xc2'
 u'Into the Storm\xc2' u'The Peacemaker\xc2' u'Taken 3\xc2'
 u'Patriot Games\xc2' u'Shadow Conspiracy\xc2' u'Die Hard\xc2'
 u'Taken\xc2' u'Red Sky\xc2' u'Haywire\xc2' u'The Cold Light of Day\xc2'
 u'The Prince\xc2' u'Road House\xc2' u'Invasion U.S.A.\xc2'
 u'Pound of Flesh\xc2' u'The Hit List\xc2' u'No Escape\xc2'
 u'Chain of Command\xc2' u'The Marine 4: Moving Target\xc2'
 u'Royal Kill\xc2']"
288,Action|Thriller|Western,[u'The Quick and the Dead\xc2']
289,Action|War,[u'U-571\xc2']
290,Action|Western,[u'American Outlaws\xc2']
291,Adventure,"[u'Troy\xc2' u'Kicks\xc2'
 u'The Book of Mormon Movie, Volume 1: The Journey\xc2']"
292,Adventure|Animation,[u'Jungle Shuffle\xc2']
293,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,[u'The Prince of Egypt\xc2']
294,Adventure|Animation|Comedy,"[u'The Simpsons Movie\xc2' u""The True Story of Puss'N Boots\xc2""]"
295,Adventure|Animation|Comedy|Crime,[u'Beavis and Butt-Head Do America\xc2']
296,Adventure|Animation|Comedy|Crime|Family,[u'Fantastic Mr. Fox\xc2']
297,Adventure|Animation|Comedy|Drama|Family,[u'Bolt\xc2' u'Chicken Run\xc2']
298,Adventure|Animation|Comedy|Drama|Family|Fantasy,[u'Inside Out\xc2']
299,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,[u'The Magic Sword: Quest for Camelot\xc2']
300,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,[u'Sinbad: Legend of the Seven Seas\xc2']
301,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,[u'Lilo & Stitch\xc2']
302,Adventure|Animation|Comedy|Drama|Family|Musical,[u'The Rugrats Movie\xc2' u'Jonah: A VeggieTales Movie\xc2']
303,Adventure|Animation|Comedy|Family,"[u'Up\xc2' u'Bee Movie\xc2' u'Flushed Away\xc2'
 u""Madagascar 3: Europe's Most Wanted\xc2"" u'Penguins of Madagascar\xc2'
 u'The Peanuts Movie\xc2' u'Ice Age: Continental Drift\xc2'
 u'Finding Nemo\xc2' u'Open Season\xc2' u'Over the Hedge\xc2'
 u'Yogi Bear\xc2' u'Madagascar\xc2' u'Shark Tale\xc2' u'Ice Age\xc2'
 u'Antz\xc2' u'Free Birds\xc2' u'The Pirates! Band of Misfits\xc2'
 u'Curious George\xc2' u""Animal Kingdom: Let's go Ape\xc2""
 u'The Nut Job\xc2' u'Space Dogs\xc2' u'Zambezia\xc2'
 u""The Pirates Who Don't Do Anything: A VeggieTales Movie\xc2""
 u'Hey Arnold! The Movie\xc2']"
304,Adventure|Animation|Comedy|Family|Fantasy,"[u'Monsters University\xc2' u'Toy Story 3\xc2' u'The Good Dinosaur\xc2'
 u'Brave\xc2' u'Shrek Forever After\xc2' u'Shrek the Third\xc2'
 u'Stuart Little 2\xc2' u'Monsters, Inc.\xc2' u'The Croods\xc2'
 u'The Smurfs\xc2' u'The Smurfs 2\xc2' u""The Emperor's New Groove\xc2""
 u'Toy Story 2\xc2' u'Arthur Christmas\xc2'
 u'The Adventures of Rocky & Bullwinkle\xc2'
 u'The SpongeBob Movie: Sponge Out of Water\xc2' u'Hop\xc2'
 u'ParaNorman\xc2' u'The Tale of Despereaux\xc2' u'The Boxtrolls\xc2'
 u'Shrek\xc2' u""Happily N'Ever After\xc2"" u""A Bug's Life\xc2""
 u'The Ant Bully\xc2' u'Thunder and the House of Magic\xc2'
 u'Toy Story\xc2' u'The SpongeBob SquarePants Movie\xc2'
 u'The Wild Thornberrys Movie\xc2' u'Doogal\xc2']"
305,Adventure|Animation|Comedy|Family|Fantasy|Music,"[u'Alvin and the Chipmunks: The Road Chip\xc2'
 u'Alvin and the Chipmunks: Chipwrecked\xc2']"
306,Adventure|Animation|Comedy|Family|Fantasy|Musical,[u'Frozen\xc2' u'Rugrats Go Wild\xc2' u'The Brave Little Toaster\xc2']
307,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,[u'Tangled\xc2' u'Aladdin\xc2']
308,Adventure|Animation|Comedy|Family|Fantasy|Romance,[u'Shrek 2\xc2' u'The Book of Life\xc2']
309,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,[u'Home\xc2' u'Looney Tunes: Back in Action\xc2']
310,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,[u'Space Jam\xc2']
311,Adventure|Animation|Comedy|Family|Musical,[u'Rio 2\xc2' u'Rio\xc2' u'Winnie the Pooh\xc2']
312,Adventure|Animation|Comedy|Family|Romance,"[u'The Road to El Dorado\xc2' u'Rugrats in Paris: The Movie\xc2'
 u'Alpha and Omega\xc2']"
313,Adventure|Animation|Comedy|Family|Sci-Fi,"[u'Wreck-It Ralph\xc2' u'Mr. Peabody & Sherman\xc2' u'Robots\xc2'
 u'Chicken Little\xc2' u'Planet 51\xc2' u'Escape from Planet Earth\xc2'
 u'Space Chimps\xc2']"
314,Adventure|Animation|Comedy|Family|Sport,[u'Cars 2\xc2' u'Turbo\xc2' u'Cars\xc2']
315,Adventure|Animation|Comedy|Family|War,[u'Valiant\xc2']
316,Adventure|Animation|Comedy|Family|Western,[u'Rango\xc2']
317,Adventure|Animation|Comedy|Fantasy,[u'Sausage Party\xc2']
318,Adventure|Animation|Comedy|Fantasy|Music|Romance,[u'A Monster in Paris\xc2']
319,Adventure|Animation|Comedy|Fantasy|Romance,[u'Delgo\xc2']
320,Adventure|Animation|Drama|Family|Fantasy,[u'The Little Prince\xc2']
321,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,[u'Anastasia\xc2']
322,Adventure|Animation|Drama|Family|History|Musical|Romance,[u'Pocahontas\xc2']
323,Adventure|Animation|Drama|Family|Musical,[u'The Lion King\xc2']
324,Adventure|Animation|Family,"[u'Walking with Dinosaurs 3D\xc2'
 u""A Turtle's Tale: Sammy's Adventures\xc2"" u'Khumba\xc2'
 u'The Land Before Time\xc2' u'Snow Queen\xc2']"
325,Adventure|Animation|Family|Fantasy,"[u'The Polar Express\xc2' u'How to Train Your Dragon\xc2'
 u'Rise of the Guardians\xc2' u'Epic\xc2' u'Arthur and the Invisibles\xc2'
 u""Dragon Nest: Warriors' Dawn\xc2"" u'Ponyo\xc2'
 u""Howl's Moving Castle\xc2"" u'Return to Never Land\xc2'
 u'Spirited Away\xc2' u'Dragon Hunters\xc2' u'The Secret of Kells\xc2']"
326,Adventure|Animation|Family|Fantasy|Musical,"[u""Legends of Oz: Dorothy's Return\xc2""]"
327,Adventure|Animation|Family|Fantasy|Musical|War,[u'Mulan\xc2']
328,Adventure|Animation|Family|Musical,[u'The Jungle Book 2\xc2']
329,Adventure|Animation|Family|Sci-Fi,[u'WALL\xc2\xb7E\xc2' u'Treasure Planet\xc2']
330,Adventure|Animation|Family|Sport,[u'Underdogs\xc2']
331,Adventure|Animation|Family|Thriller,[u'Dinosaur\xc2']
332,Adventure|Animation|Family|Western,[u'Spirit: Stallion of the Cimarron\xc2']
333,Adventure|Animation|Fantasy,"[u""A Warrior's Tail\xc2"" u'Princess Mononoke\xc2']"
334,Adventure|Animation|Fantasy|Horror|Sci-Fi,[u'Heavy Metal\xc2']
335,Adventure|Animation|Sci-Fi,[u'Harlock: Space Pirate\xc2']
336,Adventure|Biography,[u'Rob Roy\xc2']
337,Adventure|Biography|Crime|Drama|Western,[u'Wyatt Earp\xc2']
338,Adventure|Biography|Documentary|Drama,[u'Antarctica: A Year on Ice\xc2']
339,Adventure|Biography|Drama,[u'Into the Wild\xc2' u'Wild\xc2' u'The Other Side of Heaven\xc2']
340,Adventure|Biography|Drama|History,[u'Rabbit-Proof Fence\xc2']
341,Adventure|Biography|Drama|History|Sport|Thriller,[u'Everest\xc2']
342,Adventure|Biography|Drama|History|War,"[u'Seven Years in Tibet\xc2'
 u'The Messenger: The Story of Joan of Arc\xc2'
 u'Mongol: The Rise of Genghis Khan\xc2' u'Lawrence of Arabia\xc2']"
343,Adventure|Biography|Drama|Horror|Thriller,[u'Open Water\xc2']
344,Adventure|Biography|Drama|Romance,[u'The Perfect Wave\xc2']
345,Adventure|Biography|Drama|Thriller,[u'The Walk\xc2' u'Alive\xc2' u'127 Hours\xc2']
346,Adventure|Biography|Drama|War,[u'Rescue Dawn\xc2']
