genres,id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,budget_decimal,Profit
Action|Animation|Sci-Fi|Thriller,2472,112.0,105.0,2.0,69.0,805.0,63260.0,14325,1185,0.0,90.0,2006.0,306.0,6.7,2.35,0,14000000.0,-13936740.0
Action|Biography|Crime|Drama,8972,519.0,405.0,429.0,614.0,45486.0,1118642.0,167391,48728,3.0,379.0,6027.0,1632.0,21.299999999999997,6.050000000000001,43000,50000000.0,-48986150.0
Action|Biography|Crime|Drama|Family|Fantasy,4013,9.0,105.0,28.0,131.0,426.0,123777.0,342,1043,0.0,15.0,2016.0,294.0,4.7,1.85,0,3500000.0,-3376223.0
Action|Biography|Crime|Drama|Thriller,1025,186.0,127.0,12000.0,897.0,984.0,10137232.0,58015,5702,0.0,374.0,2005.0,940.0,6.0,2.35,0,50000000.0,-39862768.0
Action|Biography|Documentary|Sport,4777,10.0,82.0,0.0,0.0,0.0,21199.0,40,0,1.0,10.0,2014.0,0.0,6.8,0.0,44,500000.0,-478801.0
Action|Biography|Drama,1345,273.0,122.0,0.0,7.0,643.0,6594136.0,24557,943,1.0,111.0,2013.0,290.0,6.5,2.35,13000,38600000.0,-32005864.0
Action|Biography|Drama|History,5868,94.0,240.0,160.0,51.0,461.0,2126511.0,25056,615,1.0,69.0,4029.0,79.0,15.899999999999999,4.7,12000,37400000.0,-33873489.0
Action|Biography|Drama|History|Romance|War,3297,46.0,137.0,0.0,130.0,591.0,10161099.0,23441,1341,1.0,108.0,1989.0,520.0,7.7,1.85,0,9000000.0,1161099.0
Action|Biography|Drama|History|Romance|Western,1893,84.0,134.0,170.0,472.0,2000.0,56505065.0,95241,4453,0.0,439.0,1993.0,722.0,7.8,2.35,11000,25000000.0,31505065.0
Action|Biography|Drama|History|Thriller|War,815,490.0,133.0,16000.0,318.0,14000.0,350123553.0,325264,16277,0.0,916.0,2014.0,962.0,7.3,2.35,112000,58800000.0,291323553.0
Action|Biography|Drama|History|War,1011,79.0,139.0,378.0,303.0,11000.0,20389967.0,3077,12786,1.0,47.0,2016.0,552.0,6.7,1.85,10000,50000000.0,-29610033.0
Action|Biography|Drama|Sport,8130,454.0,320.0,2038.0,1417.0,48633.0,38709828.0,370385,65799,1.0,686.0,6017.0,12403.0,22.1,4.2,83000,59100000.0,-390172.0
Action|Biography|Drama|Thriller|War,1195,319.0,121.0,532.0,127.0,480.0,125069696.0,203963,1261,0.0,420.0,2013.0,449.0,7.6,2.35,58000,40000000.0,85069696.0
Action|Comedy,37078,1861.0,1529.0,2373.0,5343.0,41466.0,550281868.0,1267353,67374,28.0,3760.0,30054.0,7381.0,92.59999999999998,28.550000000000008,38383,403700000.0,147429184.0
Action|Comedy|Crime,53896,4355.0,2940.0,3530.0,13344.0,136965.0,1999627486.0,2607051,205795,69.0,5306.0,58191.0,26148.0,176.60000000000002,76.79999999999998,161572,942200000.0,1056753303.0
Action|Comedy|Crime|Drama,4095,146.0,199.0,427.0,1455.0,35000.0,28328132.0,44163,45448,9.0,159.0,4018.0,4000.0,12.3,2.35,1782,68000000.0,-29671868.0
Action|Comedy|Crime|Drama|Romance|Thriller,3553,54.0,88.0,11.0,415.0,1000.0,828.0,5133,2728,8.0,31.0,2009.0,418.0,6.4,2.35,663,0.0,0.0
Action|Comedy|Crime|Drama|Thriller,10646,585.0,714.0,315.0,2118.0,33662.0,254600370.0,438829,44558,7.0,866.0,14006.0,3162.0,40.6,15.45,24016,266300000.0,-11699630.0
Action|Comedy|Crime|Family,2554,51.0,94.0,14.0,635.0,1000.0,33357476.0,7392,4194,0.0,53.0,2001.0,1000.0,5.4,1.85,393,35000000.0,-1642524.0
Action|Comedy|Crime|Fantasy,4650,434.0,213.0,55.0,419.0,1053.0,137043399.0,365171,2622,1.0,567.0,3998.0,486.0,14.7,4.2,0,38000000.0,99043399.0
Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,2341,138.0,107.0,14.0,311.0,403.0,1183354.0,13026,1577,1.0,75.0,2010.0,368.0,5.1,2.35,0,20000000.0,-18816646.0
Action|Comedy|Crime|Music,1808,125.0,148.0,644.0,326.0,1000.0,54200000.0,142448,2566,1.0,319.0,1980.0,809.0,7.9,1.85,14000,27000000.0,27200000.0
Action|Comedy|Crime|Music|Romance|Thriller,1058,72.0,105.0,631.0,327.0,678.0,103738726.0,47819,2096,1.0,164.0,1990.0,631.0,6.1,1.85,2000,100000000.0,3738726.0
Action|Comedy|Crime|Romance,2964,286.0,208.0,247.0,673.0,1200.0,240949197.0,213280,3968,2.0,479.0,4014.0,858.0,12.4,4.2,0,70000000.0,170949197.0
Action|Comedy|Crime|Romance|Thriller,4090,471.0,324.0,253.0,960.0,12815.0,240755392.0,456411,28067,4.0,1263.0,6014.0,12608.0,19.200000000000003,6.550000000000001,19000,175000000.0,65755392.0
Action|Comedy|Crime|Sci-Fi|Thriller,260,447.0,119.0,1000.0,741.0,11000.0,98780042.0,136019,13391,0.0,443.0,2011.0,1000.0,5.8,2.35,14000,120000000.0,-21219958.0
Action|Comedy|Crime|Thriller,40364,2098.0,2376.0,14795.0,8775.0,118170.0,1202675880.0,1445943,179876,58.0,4029.0,45987.0,35875.0,141.89999999999998,49.070000000000014,107405,1020000000.0,191675880.0
Action|Comedy|Crime|Western,1510,58.0,93.0,18.0,324.0,4000.0,0.0,28848,5377,2.0,76.0,2006.0,820.0,5.7,2.35,0,32000000.0,0.0
Action|Comedy|Documentary,5192,260.0,193.0,158.0,436.0,1216.0,189979788.0,104389,3640,1.0,277.0,4016.0,724.0,14.2,3.63,641,20000000.0,97224271.0
Action|Comedy|Drama,3226,43.0,86.0,302.0,428.0,893.0,226792.0,3080,3049,2.0,44.0,2001.0,798.0,6.2,1.85,117,10000000.0,-9773208.0
Action|Comedy|Drama|Family|Thriller,835,125.0,95.0,163.0,650.0,14000.0,113006880.0,66308,16884,0.0,225.0,2005.0,799.0,5.5,2.35,0,56000000.0,57006880.0
Action|Comedy|Drama|Music,3117,55.0,109.0,78.0,619.0,854.0,33000000.0,9424,3394,1.0,109.0,1985.0,841.0,6.9,1.85,0,10000000.0,23000000.0
Action|Comedy|Drama|Sci-Fi,4658,16.0,86.0,63.0,175.0,489.0,0.0,2706,1278,2.0,23.0,2015.0,207.0,4.9,0.0,549,990000.0,0.0
Action|Comedy|Drama|Thriller,6301,91.0,199.0,5.0,51.0,566.0,27445.0,6447,774,7.0,56.0,4020.0,119.0,11.0,4.2,1558,9000000.0,-8972555.0
Action|Comedy|Drama|War,2747,19.0,105.0,24.0,125.0,776.0,22723.0,2236,1732,1.0,40.0,2001.0,595.0,4.5,2.35,193,25000000.0,-24977277.0
Action|Comedy|Drama|Western,3258,15.0,89.0,3.0,499.0,764.0,0.0,3015,2876,1.0,27.0,2010.0,716.0,6.5,2.35,850,10000000.0,0.0
Action|Comedy|Family,4070,102.0,187.0,50.0,634.0,1400.0,36052828.0,36672,4587,4.0,97.0,4004.0,846.0,9.7,3.7,444,48000000.0,-11947172.0
Action|Comedy|Family|Fantasy,1156,196.0,169.0,68.0,1020.0,3975.0,136950867.0,56264,7497,0.0,298.0,4011.0,1424.0,9.5,3.7,0,145000000.0,-8049133.0
Action|Comedy|Fantasy,2308,433.0,308.0,141.0,1439.0,17648.0,78721880.0,163825,35105,6.0,522.0,6019.0,13003.0,16.3,7.050000000000001,21351,223000000.0,-144278120.0
Action|Comedy|Fantasy|Horror,4318,107.0,88.0,6.0,161.0,513.0,0.0,17296,1593,3.0,91.0,2009.0,480.0,5.2,2.35,0,0.0,0.0
Action|Comedy|Fantasy|Romance,425,393.0,112.0,1000.0,719.0,10000.0,31494270.0,273921,12687,0.0,522.0,2010.0,1000.0,7.5,1.85,36000,60000000.0,-28505730.0
Action|Comedy|Fantasy|Sci-Fi,6972,1082.0,435.0,452.0,1910.0,4566.0,265867904.0,195455,12085,12.0,2911.0,8031.0,2166.0,23.0,8.4,124210,354000000.0,-88132096.0
Action|Comedy|Horror,12368,578.0,364.0,73.0,1348.0,20585.0,49034879.0,93769,27081,5.0,733.0,8021.0,2104.0,20.5,8.9,2870,60500000.0,-7965121.0
Action|Comedy|Horror|Sci-Fi,9029,145.0,187.0,12.0,24.0,528.0,792966.0,23916,652,2.0,187.0,3973.0,41.0,11.3,3.18,321,2775000.0,-1507034.0
Action|Comedy|Horror|Thriller,4046,130.0,95.0,38.0,898.0,164000.0,0.0,25542,170118,0.0,252.0,2005.0,2000.0,6.4,2.35,0,3200000.0,0.0
Action|Comedy|Music,1937,83.0,88.0,82.0,571.0,756.0,25615792.0,10161,4378,0.0,50.0,2009.0,713.0,3.5,1.85,657,25000000.0,615792.0
Action|Comedy|Mystery,2559,285.0,121.0,1000.0,108.0,175.0,23618786.0,352695,485,1.0,687.0,2007.0,115.0,7.9,2.35,17000,8000000.0,15618786.0
Action|Comedy|Mystery|Romance,808,181.0,107.0,192.0,280.0,40000.0,7605668.0,47320,42683,2.0,188.0,2015.0,2000.0,5.5,2.35,12000,60000000.0,-52394332.0
Action|Comedy|Romance,11351,1074.0,616.0,1364.0,3870.0,74000.0,220542681.0,469884,89013,15.0,1085.0,12058.0,4969.0,35.0,14.1,30000,237500000.0,-16957319.0
Action|Comedy|Romance|Thriller,4848,141.0,100.0,130.0,997.0,19353.0,47000485.0,73142,25819,4.0,121.0,4010.0,1089.0,8.2,2.35,10,75000000.0,-27999515.0
Action|Comedy|Sci-Fi,12012,1391.0,841.0,14304.0,3959.0,31980.0,251123077.0,722927,48012,21.0,1988.0,16015.0,4847.0,43.900000000000006,17.8,80213,450000000.0,-198876923.0
Action|Comedy|Sci-Fi|Sport,4845,164.0,80.0,43.0,668.0,13000.0,0.0,19875,14950,0.0,147.0,1975.0,926.0,6.2,1.85,0,300000.0,0.0
Action|Comedy|Sci-Fi|Thriller,4363,520.0,170.0,197.0,722.0,2000.0,26896009.0,134383,5277,12.0,470.0,4019.0,947.0,11.1,4.2,18000,48000000.0,-21103991.0
Action|Comedy|Sci-Fi|Western,72,85.0,106.0,188.0,582.0,10000.0,113745408.0,129601,15870,2.0,648.0,1999.0,4000.0,4.8,1.85,0,170000000.0,-56254592.0
Action|Comedy|Sport,4953,564.0,312.0,438.0,1531.0,12478.0,193992567.0,261868,19837,9.0,792.0,6019.0,1911.0,20.4,6.050000000000001,17000,125000000.0,68992567.0
Action|Comedy|Thriller,9110,512.0,425.0,144.0,918.0,3932.0,157640076.0,259454,8117,7.0,834.0,8011.0,1815.0,23.799999999999997,8.83,38354,163000000.0,-5359924.0
Action|Comedy|War,4650,108.0,259.0,14425.0,1543.0,29000.0,85300000.0,73822,47579,6.0,351.0,3960.0,12000.0,12.8,4.2,2000,45000000.0,75300000.0
Action|Crime,11078,197.0,368.0,118.0,617.0,13364.0,75962756.0,84662,16735,5.0,325.0,8024.0,1221.0,21.9,6.550000000000001,1023,81000000.0,4962756.0
Action|Crime|Drama,20945,194.0,523.0,93.0,1807.0,15200.0,6247909.0,32810,34599,8.0,230.0,10036.0,12837.0,29.400000000000002,8.9,1427,15900000.0,-9352091.0
Action|Crime|Drama|History|Western,1821,63.0,123.0,0.0,324.0,11000.0,10297897.0,8309,11969,4.0,39.0,1998.0,597.0,6.0,2.35,315,27000000.0,-16702103.0
Action|Crime|Drama|Mystery,4461,13.0,120.0,0.0,0.0,416.0,0.0,3405,416,0.0,13.0,0.0,0.0,7.3,4.0,533,0.0,0.0
Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1575,130.0,113.0,34.0,24.0,10000.0,14268533.0,17319,10910,2.0,100.0,2016.0,877.0,6.3,2.35,0,31500000.0,-17231467.0
Action|Crime|Drama|Mystery|Thriller,30394,3224.0,2438.0,32490.0,8072.0,220211.0,717299091.0,1646440,281894,26.0,5132.0,42075.0,36699.0,140.60000000000002,50.22000000000002,78503,899000000.0,-161700909.0
Action|Crime|Drama|Romance|Thriller,16705,375.0,638.0,12810.0,2263.0,28011.0,133440945.0,301912,45710,9.0,934.0,11970.0,12133.0,39.199999999999996,11.620000000000001,15753,107007000.0,26433945.0
Action|Crime|Drama|Sci-Fi|Thriller,2658,960.0,239.0,662.0,1004.0,43000.0,98037583.0,601881,60438,0.0,1294.0,4027.0,15000.0,14.3,4.7,142000,79000000.0,19037583.0
Action|Crime|Drama|Sport,2280,64.0,94.0,394.0,565.0,922.0,12398628.0,21542,2880,2.0,88.0,2002.0,855.0,6.1,2.35,977,20000000.0,-7601372.0
Action|Crime|Drama|Thriller,152094,9650.0,7181.0,74988.0,51305.0,582151.0,1959022133.0,5791426,845926,96.0,18208.0,128324.0,137553.0,439.8000000000001,163.14999999999984,258100,2181200000.0,-124330666.0
Action|Crime|Drama|Thriller|War,1129,158.0,160.0,0.0,826.0,23000.0,7916887.0,15697,26982,0.0,182.0,2008.0,1000.0,6.0,2.35,0,45000000.0,-37083113.0
Action|Crime|Drama|Thriller|Western,8662,109.0,312.0,89.0,1566.0,2475.0,64361370.0,65060,7801,7.0,266.0,5962.0,1839.0,19.1,5.550000000000001,0,41000000.0,23361370.0
Action|Crime|Drama|Western,1852,46.0,133.0,759.0,67.0,826.0,33200000.0,28247,1154,4.0,149.0,1985.0,130.0,7.2,2.35,0,26000000.0,7200000.0
Action|Crime|Fantasy|Romance|Thriller,314,212.0,87.0,26.0,566.0,827.0,40198710.0,87451,3144,0.0,660.0,2004.0,825.0,3.3,2.35,0,100000000.0,-59801290.0
Action|Crime|Fantasy|Thriller,2026,735.0,313.0,809.0,2425.0,33000.0,178758668.0,424918,53692,1.0,1383.0,6021.0,12961.0,16.3,7.050000000000001,2000,178000000.0,758668.0
Action|Crime|Horror|Sci-Fi|Thriller,3507,39.0,96.0,6.0,38.0,206.0,5430822.0,8391,493,0.0,75.0,1992.0,192.0,6.2,1.85,0,7000000.0,-1569178.0
Action|Crime|Horror|Thriller,3930,270.0,88.0,0.0,939.0,1000.0,0.0,53342,4777,0.0,287.0,2011.0,947.0,6.2,1.85,16000,4000000.0,0.0
Action|Crime|Mystery|Romance|Thriller,2435,130.0,236.0,520.0,285.0,8900.0,90176801.0,91913,9989,2.0,230.0,3993.0,383.0,12.100000000000001,4.7,503,100000000.0,-9823199.0
Action|Crime|Mystery|Sci-Fi|Thriller,629,286.0,115.0,101.0,585.0,13000.0,25121291.0,177653,15708,1.0,279.0,2013.0,1000.0,6.7,2.35,34000,50000000.0,-24878709.0
Action|Crime|Mystery|Thriller,11609,1779.0,766.0,1121.0,3781.0,51597.0,440661070.0,925977,86829,7.0,1979.0,12067.0,23844.0,45.9,14.1,129022,385000000.0,55661070.0
Action|Crime|Romance|Thriller,2392,441.0,352.0,275.0,892.0,27210.0,153382774.0,238751,31808,1.0,663.0,6009.0,1763.0,16.1,7.050000000000001,17894,261000000.0,-107617226.0
Action|Crime|Sci-Fi,2582,36.0,97.0,34.0,465.0,503.0,1686429.0,8687,3100,1.0,62.0,1997.0,489.0,2.8,1.85,0,16000000.0,-14313571.0
Action|Crime|Sci-Fi|Thriller,18180,1937.0,1183.0,2205.0,7355.0,80594.0,395183445.0,1105864,113778,4.0,3159.0,22007.0,10628.0,63.5,23.370000000000005,145107,517500000.0,-122316555.0
Action|Crime|Sport|Thriller,2340,326.0,228.0,38.0,1696.0,2000.0,57544444.0,67911,7924,2.0,326.0,4030.0,1794.0,10.6,4.7,74000,210000000.0,-152455556.0
Action|Crime|Thriller,114917,10482.0,6850.0,37524.0,75985.0,1001471.0,3117600917.0,7064429,1423960,114.0,18027.0,130378.0,250302.0,412.80000000000007,147.10999999999984,573700,2563100000.0,648000917.0
Action|Drama,31656,701.0,1014.0,983.0,3040.0,274113.0,236059988.0,377695,293918,15.0,852.0,20067.0,11803.0,58.00000000000001,18.17,2718,233350000.0,37709988.0
Action|Drama|Family|Sport,4537,162.0,252.0,160.0,450.0,1336.0,181600000.0,253823,4008,0.0,470.0,3968.0,1282.0,14.4,3.7,0,16000000.0,165600000.0
Action|Drama|Fantasy,3050,208.0,201.0,340.0,487.0,1209.0,51361333.0,144795,3579,0.0,677.0,3999.0,762.0,13.2,4.2,15445,83000000.0,-31638667.0
Action|Drama|Fantasy|Horror|Thriller,1565,93.0,107.0,26.0,535.0,889.0,10956379.0,21506,3274,0.0,364.0,2007.0,618.0,3.6,2.35,0,35000000.0,-24043621.0
Action|Drama|Fantasy|Horror|War,609,261.0,92.0,28.0,423.0,3000.0,55942830.0,138582,5178,1.0,423.0,2014.0,692.0,6.3,2.35,37000,70000000.0,-14057170.0
Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,1817,222.0,111.0,295.0,531.0,3000.0,14337579.0,156929,4696,1.0,624.0,1998.0,882.0,7.7,2.35,14000,27000000.0,-12662421.0
Action|Drama|Fantasy|Mystery|Thriller,4969,338.0,220.0,358.0,1468.0,24000.0,27996564.0,49708,30088,2.0,748.0,4028.0,2000.0,6.2,4.7,62000,32000000.0,-4003436.0
Action|Drama|Fantasy|Romance,4046,380.0,154.0,763.0,1192.0,19000.0,83503161.0,240092,24661,1.0,1070.0,2011.0,4000.0,14.299999999999999,3.18,36000,77300000.0,8503161.0
Action|Drama|Fantasy|Sci-Fi,4877,66.0,107.0,63.0,76.0,135.0,0.0,18486,457,0.0,215.0,2009.0,115.0,7.0,1.78,11000,0.0,0.0
Action|Drama|Fantasy|Thriller|Western,1069,178.0,81.0,39.0,364.0,13000.0,10539414.0,45729,14619,1.0,176.0,2010.0,541.0,4.7,2.35,0,47000000.0,-36460586.0
Action|Drama|Fantasy|War,972,826.0,219.0,263.0,1447.0,24000.0,316961707.0,832508,42943,0.0,2596.0,4020.0,14000.0,13.9,4.7,84000,175000000.0,141961707.0
Action|Drama|History,2078,55.0,139.0,3.0,107.0,556.0,0.0,6263,1059,0.0,33.0,2009.0,155.0,6.9,2.35,765,23000000.0,0.0
Action|Drama|History|Romance|War,1436,297.0,297.0,31.0,1174.0,8000.0,198668833.0,277008,11668,2.0,2060.0,4008.0,1716.0,13.2,4.7,0,180000000.0,18668833.0
Action|Drama|History|Romance|War|Western,2469,10.0,121.0,0.0,353.0,854.0,229311.0,899,2705,2.0,42.0,1999.0,578.0,6.2,2.35,271,11350000.0,-11120689.0
Action|Drama|History|Thriller,641,178.0,117.0,44.0,531.0,788.0,27550735.0,27481,3524,0.0,113.0,2016.0,562.0,6.8,2.35,12000,0.0,0.0
Action|Drama|History|Thriller|War,3871,39.0,130.0,6.0,12.0,85.0,0.0,30977,151,1.0,178.0,2016.0,26.0,8.5,2.35,10000,4400000.0,0.0
Action|Drama|History|War,13302,702.0,1109.0,1504.0,2946.0,42957.0,317092775.0,707464,56633,11.0,3271.0,15931.0,5236.0,57.49999999999999,16.45,10143,422620000.0,-45527225.0
Action|Drama|Horror|Thriller,8711,66.0,191.0,155.0,153.0,498.0,1400000.0,2327,1408,0.0,42.0,3990.0,442.0,12.5,3.7,280,4300000.0,300000.0
Action|Drama|Music|Romance,1874,48.0,129.0,81.0,164.0,970.0,121945720.0,89972,2551,0.0,126.0,1992.0,854.0,6.1,1.85,0,25000000.0,96945720.0
Action|Drama|Mystery|Sci-Fi,3676,462.0,275.0,0.0,1065.0,10986.0,107503316.0,417803,14581,2.0,1389.0,2009.0,1539.0,15.100000000000001,3.68,18000,130000000.0,-22496684.0
Action|Drama|Mystery|Thriller,296,81.0,115.0,55.0,383.0,1000.0,101228120.0,84424,3454,1.0,131.0,1996.0,773.0,6.1,2.35,0,100000000.0,1228120.0
Action|Drama|Mystery|Thriller|War,1070,65.0,116.0,380.0,826.0,18000.0,58918501.0,40126,33233,1.0,107.0,1996.0,13000.0,6.6,1.85,975,46000000.0,12918501.0
Action|Drama|Romance,5495,725.0,401.0,12000.0,1255.0,13103.0,492520402.0,1419548,19719,5.0,4397.0,5986.0,1954.0,23.3,6.03,40000,133000000.0,359520402.0
Action|Drama|Romance|Sci-Fi|Thriller,446,125.0,120.0,75.0,3000.0,11000.0,140459099.0,135601,22750,0.0,493.0,1998.0,4000.0,6.1,2.35,0,75000000.0,65459099.0
Action|Drama|Romance|Sport,1719,41.0,80.0,9.0,826.0,17000.0,3101301.0,3926,21519,1.0,38.0,2005.0,2000.0,4.0,1.85,353,0.0,0.0
Action|Drama|Romance|Thriller,3274,41.0,90.0,116.0,303.0,594.0,1602466.0,9673,1836,0.0,106.0,2010.0,412.0,6.0,0.0,0,600000000.0,-598397534.0
Action|Drama|Romance|War,4550,40.0,109.0,23.0,88.0,183.0,0.0,7346,510,0.0,69.0,1949.0,102.0,7.2,1.37,624,1000000.0,0.0
Action|Drama|Sci-Fi,1583,95.0,142.0,545.0,1133.0,3933.0,14567883.0,77783,7923,4.0,522.0,1998.0,1567.0,13.0,4.13,0,75000000.0,-60432117.0
Action|Drama|Sci-Fi|Sport,266,327.0,127.0,189.0,544.0,20000.0,85463309.0,254841,22254,1.0,426.0,2011.0,929.0,7.1,2.35,36000,110000000.0,-24536691.0
Action|Drama|Sci-Fi|Thriller,14546,1867.0,968.0,1710.0,5336.0,81356.0,345790632.0,1300370,109786,18.0,3577.0,18021.0,17510.0,54.6,19.080000000000002,189970,458300000.0,-96409368.0
Action|Drama|Sport,12520,334.0,521.0,14277.0,1781.0,28052.0,140135894.0,189119,36671,4.0,658.0,10025.0,4727.0,29.9,8.9,7083,155000000.0,-11864106.0
Action|Drama|Sport|Thriller,880,50.0,116.0,12000.0,552.0,22000.0,18573791.0,38533,24618,3.0,89.0,1996.0,617.0,5.8,2.35,0,55000000.0,-36426209.0
Action|Drama|Thriller,41126,3834.0,2437.0,3142.0,7538.0,141527.0,821680262.0,2146423,183655,30.0,6654.0,44123.0,21680.0,140.1,46.850000000000016,179813,951200000.0,-108319738.0
Action|Drama|Thriller|War,9217,793.0,854.0,14049.0,2893.0,46952.0,296330372.0,424582,69568,10.0,1521.0,14030.0,13459.0,44.7,14.1,44642,353000000.0,-51669628.0
Action|Drama|War,14095,1496.0,1339.0,15971.0,17725.0,87284.0,464834546.0,1561909,143896,20.0,5162.0,19998.0,27939.0,68.2,22.500000000000004,106729,507700000.0,-20965454.0
Action|Drama|Western,6921,245.0,197.0,149.0,532.0,36000.0,5012815.0,156451,37948,1.0,291.0,3980.0,977.0,13.8,4.7,0,25200000.0,-20187185.0
Action|Family|Fantasy|Musical,393,47.0,110.0,96.0,554.0,887.0,190562.0,2508,2728,0.0,24.0,2010.0,886.0,4.4,2.35,788,90000000.0,-89809438.0
Action|Family|Sport,233,284.0,135.0,0.0,87.0,690.0,43929341.0,57873,902,0.0,414.0,2008.0,107.0,6.1,2.35,0,120000000.0,-76070659.0
Action|Fantasy,765,436.0,128.0,0.0,985.0,14000.0,36381716.0,197965,18103,5.0,920.0,4022.0,2570.0,13.6,2.35,42040,82000000.0,-45618284.0
Action|Fantasy|Horror,4076,1210.0,391.0,558.0,2236.0,20000.0,195687202.0,486463,29977,3.0,1238.0,8047.0,4697.0,23.599999999999998,9.4,167000,215000000.0,-19312798.0
Action|Fantasy|Horror|Mystery,307,174.0,121.0,0.0,595.0,1000.0,66862068.0,89509,3903,0.0,524.0,1999.0,1000.0,5.7,2.35,2000,83000000.0,-16137932.0
Action|Fantasy|Horror|Mystery|Thriller,4829,56.0,98.0,10.0,912.0,10000.0,16115878.0,24438,13433,0.0,194.0,1995.0,1000.0,6.6,2.35,0,8000000.0,8115878.0
Action|Fantasy|Horror|Sci-Fi,751,242.0,132.0,0.0,160.0,366.0,59035104.0,244566,1112,1.0,597.0,2004.0,334.0,6.8,1.85,0,66000000.0,-6964896.0
Action|Fantasy|Horror|Sci-Fi|Thriller,4877,306.0,184.0,276.0,212.0,1539.0,36419477.0,106591,2812,1.0,333.0,3999.0,615.0,12.2,4.2,20812,63000000.0,-26580523.0
Action|Fantasy|Horror|Thriller,14174,470.0,479.0,613.0,2671.0,21153.0,131268701.0,145053,34110,1.0,1193.0,9977.0,3771.0,29.699999999999996,10.25,3000,72500000.0,58768701.0
Action|Fantasy|Romance|Sci-Fi,1859,32.0,99.0,5.0,535.0,1000.0,13829734.0,16194,2960,0.0,79.0,1994.0,691.0,4.3,2.35,319,26000000.0,-12170266.0
Action|Fantasy|Sci-Fi|Thriller,689,308.0,92.0,72.0,568.0,623.0,19059018.0,65709,3165,0.0,194.0,2014.0,593.0,5.1,2.35,15000,65000000.0,-45940982.0
Action|Fantasy|Thriller,4184,1085.0,456.0,549.0,2489.0,36955.0,229767333.0,560298,48396,3.0,2029.0,8032.0,4294.0,22.0,8.9,33000,239000000.0,-9232667.0
Action|Fantasy|Western,1175,95.0,100.0,19.0,433.0,624.0,5664251.0,22309,2056,1.0,102.0,2010.0,489.0,6.3,2.35,0,45000000.0,-39335749.0
Action|Horror,11884,352.0,484.0,603.0,2714.0,15184.0,124968424.0,252626,28309,4.0,865.0,10039.0,4473.0,26.1,8.33,898,112500000.0,39968424.0
Action|Horror|Mystery|Sci-Fi|Thriller,1311,219.0,108.0,22.0,61.0,12000.0,10326062.0,121432,14127,0.0,310.0,2009.0,2000.0,6.8,2.35,10000,33000000.0,-22673938.0
Action|Horror|Mystery|Thriller,4511,22.0,84.0,0.0,63.0,380.0,0.0,1321,630,0.0,51.0,2012.0,91.0,3.8,0.0,238,1200000.0,0.0
Action|Horror|Romance,1790,225.0,108.0,23.0,845.0,2000.0,10907291.0,23775,4710,0.0,134.0,2016.0,860.0,5.8,2.35,73000,28000000.0,-17092709.0
Action|Horror|Romance|Sci-Fi|Thriller,2463,70.0,93.0,28.0,415.0,1000.0,3500000.0,10082,2319,2.0,100.0,1986.0,695.0,5.9,1.85,0,2700000.0,800000.0
Action|Horror|Sci-Fi,17981,1345.0,941.0,22311.0,5148.0,46999.0,241594080.0,1033933,68155,12.0,4107.0,18000.0,7670.0,50.29999999999999,17.67,13930,277100000.0,5594080.0
Action|Horror|Sci-Fi|Thriller,25056,2914.0,1547.0,2801.0,7403.0,76575.0,707273427.0,1326907,110166,7.0,7458.0,30046.0,10571.0,86.4,33.25000000000001,47000,559000000.0,173273427.0
Action|Horror|Thriller,30668,1453.0,1061.0,182.0,5682.0,28524.0,252049077.0,717711,62907,5.0,4093.0,20087.0,10835.0,58.8,20.650000000000002,31811,181500000.0,87049077.0
Action|Mystery|Sci-Fi|Thriller,5128,1318.0,732.0,15770.0,3323.0,40822.0,479832892.0,1345677,53720,2.0,3406.0,12038.0,4226.0,40.300000000000004,14.1,49000,424000000.0,55832892.0
Action|Mystery|Thriller,15669,2382.0,1122.0,2892.0,4536.0,97685.0,875120196.0,2099709,117450,13.0,4234.0,20086.0,6581.0,63.5,20.650000000000002,96057,508000000.0,367120196.0
Action|Romance|Sport,4773,3.0,94.0,0.0,212.0,918.0,0.0,60,2091,0.0,2.0,2016.0,402.0,4.0,0.0,381,150000.0,0.0
Action|Romance|Thriller,7965,647.0,305.0,418.0,6434.0,98000.0,135262314.0,353305,130568,6.0,749.0,6034.0,22748.0,19.6,6.550000000000001,50221,201300000.0,-64737686.0
Action|Sci-Fi,40551,4559.0,2495.0,2868.0,5419.0,52189.0,1595558079.0,5412585,77064,15.0,18262.0,45874.0,8497.0,144.8,48.20000000000002,298311,1330050000.0,295058079.0
Action|Sci-Fi|Sport,4054,172.0,188.0,396.0,416.0,1848.0,19872832.0,27056,4289,5.0,332.0,3991.0,1484.0,9.5,3.68,1583,80000000.0,-60127168.0
Action|Sci-Fi|Thriller,27026,3619.0,1689.0,2575.0,11888.0,143202.0,665882259.0,2279472,214502,16.0,6984.0,32112.0,41951.0,97.6,34.25000000000001,249029,615075000.0,62882259.0
